Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15065531747221442,27.227114618241796,43568.5390625,41710.651048758547,26.740861599137883,1530.8690897176291,1016.4431353838705
0.44999999999999996,0.45165772113805497,28.534698719162591,49501.126549710709,46232.749724985311,29.994109328243436,1537.2520416037019,1018.4669365544371
0.74999999999999989,0.75203189786842817,28.599574429575565,54004.120372591664,50377.37794312866,33.025053367398428,1540.5778619032153,1020.7198485007004
1.05,1.0520578038610553,28.604971152673759,54227.882580059275,50581.02020576728,33.175041009857466,1540.7521167903542,1020.8319250966786
1.35,1.3520668571492625,28.599274543507924,54221.8884702943,50580.804434471393,33.17480917940135,1540.7445217105819,1020.8349128376227
1.65,1.6520748267759058,28.575459532396241,54189.438217211042,50573.00365706013,33.169019211030864,1540.6915809013158,1020.8396885165035
1.9500000000000002,1.9520857012785204,28.591252351131025,54166.351067048694,50536.56025068197,33.142040891308106,1540.7027637214494,1020.8155332143857
2.25,2.2521050980535589,28.60484271067995,54121.586517687334,50481.993585725453,33.101712371065254,1540.6951243090111,1020.782082895814
2.55,2.55213024769883,28.595112020499425,54092.869582331405,50464.368431249473,33.088658635166347,1540.665272520177,1020.7767745889875
2.85,2.8521548415579026,28.586685944898534,54094.966688040819,50474.260288894271,33.095880987276324,1540.659541882015,1020.7862535266199
3.15,3.1521781742877222,28.582217672009094,54084.238189303083,50468.458136957852,33.091529974198252,1540.6502919012212,1020.7857447943169
3.4499999999999997,3.4522004967549331,28.57524111227783,54085.41756499945,50476.130804201559,33.097113818360086,1540.6459971495135,1020.7935167964051
3.75,3.7522221422876147,28.569672109876844,54068.482333312582,50465.57147336335,33.089258921330533,1540.6306630004058,1020.790739832426
4.05,4.0522432796598435,28.561589398198223,54065.613870603564,50470.509256790559,33.092828914445377,1540.6218339998386,1020.797363425807
4.35,4.3522637677104647,28.556974021574348,54052.1156130975,50462.256877436448,33.086672285358944,1540.6103586329755,1020.7955470144997
4.6499999999999995,4.6522846903659136,28.551433661467495,54039.155297622216,50455.376824491679,33.081528702098311,1540.5979254023091,1020.7947947021314
4.9499999999999993,4.9523060603551441,28.547932296510893,54027.328455310133,50447.632745317489,33.075744892248224,1540.5892702825502,1020.7928916822294
5.2499999999999991,5.2523269643718891,28.543793756256452,54028.715329189181,50452.827058855975,33.079496161401792,1540.5892339380671,1020.798354253394
5.55,5.5523464877387,28.538814993403768,54026.50732199278,50455.45678275574,33.081359055250282,1540.5853785214063,1020.8026754807623
5.85,5.8523651777157131,28.534876404456416,54021.013133933578,50454.037407132877,33.080236361774261,1540.580658941032,1020.8044140698708
6.1499999999999995,6.1523831490832253,28.533596023596854,54023.386481292757,50457.460822807428,33.082677602937167,1540.5854881084038,1020.8079542677411
6.4499999999999993,6.4523996624355391,28.531984704609361,54031.467247658948,50466.527204068509,33.089277701572549,1540.5939611743443,1020.8147245564786
6.7499999999999991,6.7524152429861868,28.529393566599264,54024.76201700369,50462.7069516378,33.086383354888362,1540.5903236076576,1020.8146906947551
7.0499999999999989,7.0524306840953619,28.530094386695055,54026.200987809912,50463.390366483422,33.08680214553695,1540.5973574975021,1020.8160621559194
7.35,7.35244566424937,28.527496734252988,54023.72048192058,50463.522281016791,33.086820130920209,1540.5967634159124,1020.8182162264137
7.6499999999999995,7.6524590262662873,28.523920205319584,54033.354411783112,50475.89395966263,33.095859253898958,1540.6035028498768,1020.8274625336925
7.9499999999999993,7.9524711263225,28.522738035395509,54028.514588166283,50472.487555136184,33.093267355408678,1540.6032604763911,1020.8271927789447
8.25,8.2524827687870026,28.51989420580038,54028.760531319233,50475.399225904774,33.095334077328808,1540.6042785224629,1020.8309652568362
8.5499999999999989,8.5524935049938549,28.514637651506618,54023.11781409524,50475.0851214764,33.095027615934718,1540.5975300775019,1020.8337488049596
8.85,8.8525020138048713,28.511114308304059,54039.640837646744,50493.847433542105,33.108776235667811,1540.6093294338468,1020.8465122423917
9.1499999999999986,9.1525084680481843,28.504731154112616,54029.865817660931,50490.736662180156,33.106410335619813,1540.5979520836536,1020.8481196851665
9.45,9.4525132422047111,28.494410130351572,54030.25604837991,50500.842907438957,33.113790786799143,1540.5881960859363,1020.8583348861667
