Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15034942360070966,26.248498062648231,46115.487635709775,44992.038185525307,29.095133404276719,1531.0707728172611,1018.5122970451798
0.44999999999999996,0.45092399551864681,27.984268612594612,50239.913316137172,47410.216873499419,30.851669295241226,1536.9297733668375,1019.2878524133548
0.74999999999999989,0.75116549934383792,28.485171285377543,53963.778485562725,50447.420461300862,33.07686547958734,1540.3823845186766,1020.7963139467227
1.05,1.0511723651095952,28.556976365217182,54246.905618698707,50644.107733768185,33.221645931740817,1540.696385506702,1020.8826919865555
1.35,1.3511750550468127,28.609163959031115,54219.249144483409,50569.012031150618,33.166096329607754,1540.7569281843857,1020.8251193021558
1.65,1.6511929522614284,28.643211876524067,54184.851114808196,50504.853474779695,33.118650547534095,1540.7863564864742,1020.7795904745568
1.9500000000000002,1.9512195303342999,28.623954536887236,54125.167011485457,50467.340089822581,33.090958718266407,1540.7204221211018,1020.7664361746598
2.25,2.2512492944343232,28.618128960929642,54097.401066603634,50446.931024041536,33.07584693925196,1540.6969339738837,1020.7582999042038
2.55,2.5512789646030689,28.604099314856224,54089.648138072982,50452.902697203041,33.080191807025571,1540.6759799931642,1020.7674640078284
2.85,2.8513066461418082,28.590625059729348,54074.268361588904,50451.2387206909,33.078908195431943,1540.6503168871591,1020.7722200729077
3.15,3.1513329332180264,28.579333248837919,54063.198928470818,50451.541340936143,33.079069086118594,1540.6309190958048,1020.7773413410806
3.4499999999999997,3.4513578960851823,28.573270497842241,54059.118921215573,50453.442937922657,33.080398152366413,1540.6241498404161,1020.7816194447295
3.75,3.75138308849817,28.569090151811896,54039.293689107166,50438.875791956467,33.069588143302518,1540.6087426554975,1020.7761680591462
4.05,4.0514088104800612,28.565785411138069,54035.806970414356,50438.733004350346,33.069405482662219,1540.6064016207081,1020.7784046115685
4.35,4.351433856403804,28.560997286364735,54030.875061570434,50438.638000608444,33.069260688270461,1540.6008615242004,1020.7811570479983
4.6499999999999995,4.651458005351647,28.560346926272363,54034.675216767246,50442.798000494484,33.072243650578812,1540.6076366789851,1020.7848968937913
4.9499999999999993,4.9514809758041505,28.557331621689308,54036.375494485241,50447.225298843987,33.075427870834666,1540.6094603083898,1020.7895650276913
5.2499999999999991,5.25150306063041,28.554177919529497,54032.189760045447,50446.288094678821,33.074659379768576,1540.6068313244671,1020.7913120215098
5.55,5.5515246191913548,28.552283870745285,54031.001618712966,50446.962961582663,33.075076487569341,1540.6081968581532,1020.7935348270252
5.85,5.851545618299248,28.5497540943954,54028.281810607616,50446.806642070369,33.074882233942965,1540.6075320556854,1020.7955076693113
6.1499999999999995,6.15156604436922,28.5483558114969,54028.089754353568,50447.94460594219,33.075639664679038,1540.6103369317805,1020.7978229343405
6.4499999999999993,6.4515857284746625,28.54645404877316,54028.630995207743,50450.241715348122,33.07725210293259,1540.6129398430439,1020.8009453179773
6.7499999999999991,6.7516046682568343,28.542870712088487,54024.869513022124,50450.105489791022,33.077074421849133,1540.6099903169793,1020.8032766565099
7.0499999999999989,7.05162247769294,28.539259284744666,54027.679800939375,50456.133053314275,33.081438637470228,1540.6117474654873,1020.8090259504091
7.35,7.35163896283844,28.535325562952703,54025.896320949629,50458.174815262922,33.082866343706669,1540.6097164487408,1020.8126771235488
7.6499999999999995,7.6516541369386477,28.532037862164355,54029.064525928363,50464.2329001595,33.087252462846195,1540.61220232639,1020.8183363839563
7.9499999999999993,7.9516680820770551,28.528685169688764,54027.156732026975,50465.611625577978,33.088190498739657,1540.6109249109675,1020.8214290283936
8.25,8.251681377655121,28.527779225833338,54026.616196107374,50465.960831449258,33.088365731965027,1540.6141922479067,1020.8231454319272
8.5499999999999989,8.5516936683500173,28.527032844367444,54033.682971923852,50473.265657214295,33.093666283331707,1540.6231901576412,1020.8286561621048
8.85,8.8517043116919538,28.521454174548243,54033.905635652023,50478.7346205435,33.0976220957325,1540.6202160825576,1020.8347447944998
9.1499999999999986,9.15171341052501,28.51303417167663,54026.974098301143,50480.200697437307,33.098632648586936,1540.6079363034664,1020.8395557499213
9.45,9.4517216721991222,28.502251713096108,54009.311172006732,50473.867400599993,33.093899298763787,1540.584453464865,1020.8408306720058
9.75,9.7517296974432135,28.496542455570793,53998.938445891472,50469.559309125369,33.090650085781043,1540.573617652896,1020.8415534475849
10.049999999999999,10.051736678476358,28.489646111006177,53998.313957933962,50475.482531583926,33.094941947166241,1540.5681031015872,1020.8483257125615
10.35,10.351742395957055,28.485538143228521,53993.466870771641,50474.828098562779,33.094382346123624,1540.5635907017613,1020.8505412330292
10.649999999999999,10.651746445840706,28.485197887256579,54008.954212911558,50489.627360787774,33.105204859770751,1540.5792763504708,1020.8600634026951
10.95,10.951747716003895,28.479693791095404,54016.443459677757,50501.825674880471,33.114118921,1540.5816591794292,1020.8698478085286
11.25,11.251748074203279,28.471526612530134,53994.462171838473,50488.985065918991,33.1045846762609,1540.5588330125838,1020.866658668043
11.549999999999999,11.551748319000174,28.463981453301134,53988.083362290155,50490.144855230064,33.105366697042449,1540.5482004717171,1020.8710083054502
11.85,11.851748300546575,28.454293271857892,53965.578299499684,50478.245054182553,33.096527975111428,1540.5227639480502,1020.8688389896004
12.149999999999999,12.151747037846256,28.435598915905821,53953.76189905862,50484.84811030962,33.101336070258753,1540.4919263760669,1020.8798651976078
12.45,12.451744956179555,28.424772721683517,53923.806820562364,50467.043726585944,33.088147466752169,1540.4594041306107,1020.8748014312769
12.75,12.751743048300559,28.41617218768603,53915.547321530757,50467.438149714377,33.088365682246753,1540.4458406381757,1020.8790711126251
13.049999999999999,13.051739358661306,28.405534945286291,53911.61883287922,50473.812207022558,33.092992285140348,1540.432437998059,1020.8873167038753
13.35,13.351732375797909,28.392682072450583,53916.231859114356,50490.282344267092,33.105060814467819,1540.4219887675688,1020.9018737472995
13.649999999999999,13.651724325823295,28.384201583652953,53886.600046405205,50470.549758026245,33.090447092601543,1540.3930818325898,1020.8949682530759
13.95,13.951717810856096,28.381354829034027,53873.472164585881,50460.944965829338,33.083289657460114,1540.3843725687109,1020.8918149486631
14.249999999999998,14.251712912212073,28.379088298908755,53852.987509295235,50443.899685709104,33.070649869471985,1540.3711738480702,1020.8843561581681
14.549999999999999,14.551707734678452,28.373494908119909,53860.246770987927,50455.986500140134,33.079477862115716,1540.3732351230142,1020.894101804413
14.85,14.851700964522166,28.368750504632544,53852.95183662224,50453.637500795216,33.077668810485847,1540.3659780602961,1020.8955843511404
15.149999999999999,15.151693877642492,28.361787495640705,53841.202533615055,50449.211936550586,33.07433227505738,1540.3522410351995,1020.8966461686192
15.45,15.451684926926809,28.321874866399508,53796.496033599426,50445.052962212132,33.071226865085016,1540.2663227791977,1020.908658744391
15.884104643646182,15.885771521477119,28.312436603846752,53801.574722658457,50458.746729629325,33.081203630123085,1540.2633795524835,1020.9210977461147
