Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15053458546493481,26.445101548288847,44019.8615451558,42783.336236431212,27.507222286026344,1529.8489260959002,1017.2591471973454
0.44999999999999996,0.4511544935179117,28.140134863517712,52327.7176740152,49235.58983093562,32.1863638034629,1538.6812588638425,1020.239152297007
0.74999999999999989,0.75127654272244981,28.4791636463119,53683.762667762523,50191.288538844543,32.888223120311082,1540.1710953435186,1020.6566919921872
1.05,1.0513120513844312,28.576196947749825,54173.018997191226,50556.984335808171,33.157375907930913,1540.6708394173156,1020.8281326373749
1.35,1.3513245733715882,28.621400565732067,54216.911141409211,50555.291888494343,33.155957707296373,1540.7729460107437,1020.8134825912647
1.65,1.6513429955995693,28.608070772383819,54143.848253252159,50499.717181712447,33.114935672931544,1540.7059119443502,1020.7883701880713
1.9500000000000002,1.9513691651493881,28.609326051300627,54090.783875775531,50449.042974364362,33.077504233559637,1540.6744253029801,1020.7611529124944
2.25,2.2513991977057874,28.607281942195375,54087.596390426705,50447.993659470791,33.07665154635157,1540.6741384312848,1020.7624728061225
2.55,2.5514284704185872,28.6018531249137,54084.484828109591,50450.200576154675,33.078204985133787,1540.6689979259413,1020.7667118785878
2.85,2.851457544779064,28.596986419771415,54069.23647563839,50440.556538168312,33.071024373578652,1540.6559138372479,1020.7642111526498
3.15,3.1514870627231271,28.59400703748058,54061.699418227712,50436.328991430004,33.067831503696567,1540.65112917714,1020.7640822255075
3.4499999999999997,3.4515159300509404,28.588364376913113,54059.604937114033,50439.685522855725,33.070232142911145,1540.6464063502403,1020.7690269124832
3.75,3.75154436587876,28.581542988445385,54042.845617291765,50430.467846872067,33.063369514838151,1540.6293864530785,1020.7674070139626
4.05,4.0515725665197229,28.573594081994603,54034.362589370648,50430.033223709834,33.062980666884272,1540.6166982550387,1020.7710159172698
4.35,4.3515995596180916,28.56776035788749,54032.055148252344,50433.371478724221,33.065367703885059,1540.6115363937445,1020.7760124262569
4.6499999999999995,4.6516251319679753,28.564457663638439,54034.041394432119,50438.335186498538,33.068947721066543,1540.6131495030445,1020.7810721728686
4.9499999999999993,4.9516499448339522,28.5631296475292,54030.442909189325,50436.2266214981,33.067312927358344,1540.613597738218,1020.781569090997
5.2499999999999991,5.2516738163629348,28.561236893233897,54037.149612767731,50444.269724840829,33.07315940997421,1540.6206671628906,1020.7878663485211
5.55,5.5516967955687928,28.559058196801768,54031.503239404279,50441.050551025859,33.070707740955307,1540.6184003962758,1020.7880297448345
5.85,5.8517195464540821,28.555981057957332,54027.505795558143,50440.216693155642,33.070015308319569,1540.616018656581,1020.7898086909307
6.1499999999999995,6.1517418444084706,28.553438151643249,54024.220206593527,50439.544192865076,33.069440785849721,1540.6149264901624,1020.7915005055497
6.4499999999999993,6.4517635800619635,28.550143488987647,54021.306230969916,50439.926684864222,33.069644932101646,1540.6130097865232,1020.7940237026166
6.7499999999999991,6.7517844792020467,28.547796257597884,54021.957080804954,50442.745412832744,33.071642486678982,1540.615044336437,1020.7975815002851
7.0499999999999989,7.0518037841440515,28.543124437197331,54026.7581473065,50451.630078738155,33.078113818821421,1540.6166988086152,1020.8052607047563
7.35,7.3518216530722276,28.540701515915938,54025.199419177494,50452.457559897244,33.078644193107074,1540.6170265691587,1020.8077421348989
7.6499999999999995,7.6518389574913614,28.539106363127797,54023.585959511307,50452.453943756118,33.078560706815324,1540.6185175478904,1020.8094908603181
7.9499999999999993,7.9518559327056533,28.535920290062315,54017.6698165798,50449.931115321575,33.076623640381918,1540.6145866219426,1020.8103710580084
8.25,8.25187194761725,28.534948719717953,54025.398603517526,50458.06514765459,33.082535386073388,1540.6237344265339,1020.8164144540797
8.5499999999999989,8.551886625884789,28.53257827411278,54025.784417802373,50460.659807159056,33.084367764819618,1540.6255426174928,1020.8198557105299
8.85,8.8518994711797774,28.529463252251396,54036.518841198864,50473.6228967569,33.093841822145187,1540.6337477861932,1020.8292768516856
9.1499999999999986,9.1519101466031163,28.519089847841393,54028.155442792558,50475.592537539851,33.095226909038914,1540.6175962921013,1020.8350108987835
9.45,9.4519188759860562,28.506505334203581,54020.338226009073,50480.15927091115,33.098529009325247,1540.5986166903381,1020.8429090409971
9.75,9.7519268926001352,28.500941227562183,54003.660987999254,50469.823286191167,33.090837639932715,1540.5834348036519,1020.8402502492791
10.049999999999999,10.051936819034147,28.495124925948733,53972.466521719529,50446.1542957714,33.073322627554312,1540.557381025827,1020.8303007160182
10.35,10.351946472297938,28.488785249526945,53983.255908047489,50462.219001809273,33.085086005377086,1540.5609303498879,1020.8424979823196
10.649999999999999,10.65195279638157,28.481938840910491,53990.597004395684,50475.54200026131,33.094830218271518,1540.5612483564996,1020.8533459085327
10.95,10.95195722513904,28.4793555838386,53988.693701085438,50476.200686869117,33.095235811580523,1540.561084146399,1020.8557853674488
11.25,11.251960213652826,28.471648842455213,53988.626641686904,50483.412995880186,33.100478375227581,1540.5547870398641,1020.8635363996328
11.549999999999999,11.551961785535623,28.46984469899359,53987.69518765909,50484.245364448623,33.101010686515167,1540.556459604356,1020.8658152016342
11.85,11.851963112326148,28.462727143289943,53973.1832936052,50477.394418121563,33.095888979468832,1540.540560202279,1020.8655931285521
12.149999999999999,12.151964233201563,28.452916779241576,53958.561975658144,50472.981856635495,33.092567871588756,1540.5206512434729,1020.8676053076583
12.45,12.451965138203846,28.445405486783997,53943.539316036578,50466.021189955951,33.087365738276809,1540.5037956365227,1020.8674510046279
12.75,12.751966567964697,28.435087658737537,53918.350340516256,50452.196022270116,33.077109585017453,1540.475475590192,1020.8644226287568
13.049999999999999,13.051967022225403,28.421345205942849,53912.816490501427,50459.995234736154,33.082790916832657,1540.4563860676249,1020.8744787744748
13.35,13.3519646490735,28.407054695859479,53905.452309652872,50466.602789305318,33.087594330597206,1540.4351603486321,1020.8840542895723
13.649999999999999,13.651960219890579,28.3955911007485,53893.52638751037,50466.270038871146,33.087279756207231,1540.4147453055277,1020.8888607273957
13.95,13.951955771774868,28.384886133800208,53865.291964670694,50449.945542326743,33.075181130844463,1540.3836008166643,1020.884571845123
14.249999999999998,14.2519520598119,28.3793491150951,53853.19007267111,50443.842951844847,33.07060775942746,1540.3717021265272,1020.884239159004
14.549999999999999,14.551947295486531,28.374864256362269,53858.676850740128,50453.221381560885,33.077438965444145,1540.37409838332,1020.8921229685116
14.85,14.851940337233344,28.364566519037503,53853.751890394189,50458.342869872438,33.081140438573428,1540.3604393999181,1020.8995599265044
15.149999999999999,15.151932338154429,28.362231797095202,53847.623547385389,50454.808329733882,33.078455025064827,1540.3575506437096,1020.8995956757843
15.45,15.451925569393929,28.349355717866334,53808.644939584359,50430.454328396147,33.06044285444986,1540.3153915493713,1020.8915749123204
15.749999999999998,15.751916751918051,28.318476597894062,53798.719394292668,50450.353073682505,33.075051142819241,1540.2679320254943,1020.9139285232672
16.120125539554572,16.12202657864329,28.310457194871624,53791.80601072713,50451.4581577269,33.075769570518538,1540.2572932090025,1020.9186782562011
