Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.1501674706770785,27.064743543119764,49687.613740945795,47717.14058266201,31.075066859465082,1535.0759512818031,1019.7469866035148
0.44999999999999996,0.45063229333317145,28.206609851106229,49630.954210206524,46639.838874431342,30.29059627907845,1536.8360422446253,1018.7953878447825
0.74999999999999989,0.75095483956994213,28.478969283398317,53840.539395133012,50338.048878446636,32.996297895369388,1540.2841851230276,1020.7378735671547
1.05,1.0509825582496768,28.582929035395217,54125.964926988927,50506.724717526165,33.120316140262744,1540.6466180346345,1020.7981040928946
1.35,1.3510014728973745,28.603223252423582,54157.211388159449,50516.748902511958,33.127582127371447,1540.7035567202315,1020.7981690329225
1.65,1.6510239584598074,28.614525701738728,54127.020866173014,50477.944323601158,33.098876103402027,1540.703123803369,1020.7741937316009
1.9500000000000002,1.9510546255428745,28.63277492079802,54094.048968018113,50430.030003017069,33.063446602833906,1540.7107649352797,1020.7428865267067
2.25,2.2510900936404696,28.627313001856717,54080.77633001202,50422.791393761989,33.058040597673745,1540.6982577654865,1020.7419146919613
2.55,2.5511248212403128,28.624790198950176,54086.650133489835,50430.640318429345,33.063745794486479,1540.7038122247877,1020.7483136728706
2.85,2.8511591389331277,28.630571180828426,54087.564883739768,50426.05709099245,33.060273464884816,1540.7178260883165,1020.7450924277472
3.15,3.1511930856216108,28.627409875643,54091.871996758513,50433.045453987579,33.065345906131142,1540.7213259817831,1020.7512267434748
3.4499999999999997,3.4512262722142775,28.631027412030047,54094.352771087229,50431.956445191325,33.064452694423892,1540.7333328335224,1020.7506529415505
3.75,3.7512601424021268,28.635271692205617,54091.8247890123,50425.609009148568,33.059683515191516,1540.7426368419006,1020.7469640863837
4.05,4.0512940204876093,28.632802374684225,54093.18026418017,50429.19432615109,33.062247009158988,1540.7450120125175,1020.7509878762002
4.35,4.3513263622119362,28.6258317959978,54092.529181758357,50435.142327988455,33.066560566855017,1540.7394172886204,1020.7578065538492
4.6499999999999995,4.651357100406746,28.617430846180032,54084.983695050767,50436.008254677537,33.067132043514079,1540.7267755794846,1020.7622874647969
4.9499999999999993,4.9513870540868821,28.612720951809006,54077.255089654405,50433.231264519258,33.065011715210368,1540.7193493259897,1020.7635333515971
5.2499999999999991,5.2514163334254222,28.60726519996367,54073.116165397441,50434.50357306614,33.065876498154637,1540.7134284285758,1020.7672646425416
5.55,5.5514449858888426,28.598819837141981,54058.602607184053,50428.911281478868,33.061688835858412,1540.6956842200814,1020.7681875553786
5.85,5.8514727599818332,28.591223653208406,54054.253019830023,50432.00111422898,33.06389662520693,1540.686499603361,1020.7736301844934
6.1499999999999995,6.1514984089824534,28.58403153454023,54058.251380614507,50442.501088937839,33.071563605313678,1540.6839231164265,1020.7830365560652
6.4499999999999993,6.4515227233190595,28.578336862632572,54046.613564190746,50437.001901308337,33.067438676741,1540.6722328611027,1020.7831007131864
6.7499999999999991,6.7515472444888518,28.5750309493101,54036.692382813744,50430.855032020838,33.062832111685495,1540.6652471453072,1020.7820178051359
7.0499999999999989,7.0515711689768175,28.572731569771268,54041.247962610309,50437.271331058466,33.067480575598722,1540.6701724517643,1020.7875496266269
7.35,7.3515942337710056,28.572208239138732,54039.382019561977,50436.022515945071,33.06647787329478,1540.6730410429516,1020.7882564288918
7.6499999999999995,7.6516163835069495,28.568674848136563,54042.6329001825,50442.383588346711,33.071087908152059,1540.6752325124148,1020.7941650598851
7.9499999999999993,7.9516371235388,28.569144377765355,54048.925079240478,50447.814415413981,33.075005254878349,1540.6854327233325,1020.7982378534163
8.25,8.2516565379875058,28.567437492964189,54054.077060813652,50454.230770244874,33.079652814334018,1540.6916495679632,1020.8035741589581
8.5499999999999989,8.5516746012731222,28.564573897974451,54055.211234868169,50457.9867822978,33.082342158672596,1540.693285879016,1020.8078210954053
8.85,8.8516923756755013,28.561485982251902,54044.082923065929,50450.507423350748,33.076752860162287,1540.6857409046202,1020.8059286742393
9.1499999999999986,9.1517093001037964,28.554445283329919,54045.727591225746,50458.675563995384,33.0827006405437,1540.6816773252324,1020.8139938756532
9.45,9.4517249694973522,28.546982314672046,54032.72946831696,50453.570988174826,33.078868758437892,1540.6664208671027,1020.8148578912425
9.75,9.7517396590318768,28.539242298246421,54029.595131656133,50457.937778310479,33.08201626391832,1540.6578832295995,1020.8210506123812
10.049999999999999,10.051752763319954,28.533620929501225,54027.610882355941,50461.382906926148,33.08448085085935,1540.6532536324216,1020.8260344187892
10.35,10.351764372392903,28.528730138706464,54027.984497333971,50466.342427079646,33.088060030534621,1540.6513888089553,1020.8316145812569
10.649999999999999,10.651774916660084,28.522112729294115,54018.68941046713,50463.898616712519,33.086186637194395,1540.6400234446392,1020.833669402555
10.95,10.951785963777512,28.519650925206012,54002.41570648698,50451.016377101972,33.076614775358138,1540.6296541724007,1020.8285812306807
11.25,11.251796537570987,28.510323988608533,54001.517961426769,50458.971219201369,33.082407835717234,1540.620411290151,1020.8372792265301
11.549999999999999,11.551805454840682,28.506603240160029,53998.756121346247,50459.899200643726,33.083013969453049,1540.61797521657,1020.8402431160243
11.85,11.851813785336368,28.506391204034834,53998.7813981825,50460.12278446331,33.08309542693673,1540.622659751424,1020.8416611470789
12.149999999999999,12.151822505416039,28.50278815984808,53983.356980309523,50449.106333510761,33.074900240166741,1540.6112367434946,1020.8379805290391
12.45,12.451833081024034,28.493757536394209,53949.562594941679,50426.035746542359,33.057832752840547,1540.5786219593122,1020.8294223152402
12.75,12.751842268493439,28.46832485814755,53940.921005537908,50441.940297030218,33.06950582310558,1540.5402874258066,1020.8478161203509
13.094792279330166,13.0966420220252,28.464122503066818,53931.849001010611,50437.420905876614,33.0660860555293,1540.533312650997,1020.8481073693595
