"プロット タイトル: 11000848"
"#","日付 時間, GMT+09:00","温度, °C"
126,05/29/2017 05:00:00 午前,22.513
127,05/29/2017 06:00:00 午前,22.465
128,05/29/2017 07:00:00 午前,22.585
129,05/29/2017 08:00:00 午前,22.968
130,05/29/2017 09:00:00 午前,23.304
131,05/29/2017 10:00:00 午前,23.448
132,05/29/2017 11:00:00 午前,23.545
133,05/29/2017 12:00:00 午後,23.689
134,05/29/2017 01:00:00 午後,23.737
135,05/29/2017 02:00:00 午後,23.761
136,05/29/2017 03:00:00 午後,23.833
137,05/29/2017 04:00:00 午後,23.809
138,05/29/2017 05:00:00 午後,23.809
139,05/29/2017 06:00:00 午後,23.785
140,05/29/2017 07:00:00 午後,23.737
141,05/29/2017 08:00:00 午後,23.569
142,05/29/2017 09:00:00 午後,23.352
143,05/29/2017 10:00:00 午後,23.184
144,05/29/2017 11:00:00 午後,23.088
145,05/30/2017 12:00:00 午前,22.992
146,05/30/2017 01:00:00 午前,22.968
147,05/30/2017 02:00:00 午前,22.920
148,05/30/2017 03:00:00 午前,22.848
149,05/30/2017 04:00:00 午前,22.776
150,05/30/2017 05:00:00 午前,22.753
151,05/30/2017 06:00:00 午前,22.705
152,05/30/2017 07:00:00 午前,22.776
153,05/30/2017 08:00:00 午前,23.136
154,05/30/2017 09:00:00 午前,23.472
155,05/30/2017 10:00:00 午前,23.665
156,05/30/2017 11:00:00 午前,23.737
157,05/30/2017 12:00:00 午後,23.833
158,05/30/2017 01:00:00 午後,23.930
159,05/30/2017 02:00:00 午後,24.050
160,05/30/2017 03:00:00 午後,24.243
161,05/30/2017 04:00:00 午後,24.291
162,05/30/2017 05:00:00 午後,24.243
163,05/30/2017 06:00:00 午後,24.002
164,05/30/2017 07:00:00 午後,23.833
165,05/30/2017 08:00:00 午後,23.713
166,05/30/2017 09:00:00 午後,23.593
167,05/30/2017 10:00:00 午後,23.521
168,05/30/2017 11:00:00 午後,23.448
169,05/31/2017 12:00:00 午前,23.400
170,05/31/2017 01:00:00 午前,23.304
171,05/31/2017 02:00:00 午前,23.280
172,05/31/2017 03:00:00 午前,23.232
173,05/31/2017 04:00:00 午前,23.184
174,05/31/2017 05:00:00 午前,23.160
175,05/31/2017 06:00:00 午前,23.184
176,05/31/2017 07:00:00 午前,23.208
177,05/31/2017 08:00:00 午前,23.256
178,05/31/2017 09:00:00 午前,23.448
179,05/31/2017 10:00:00 午前,23.713
180,05/31/2017 11:00:00 午前,23.737
181,05/31/2017 12:00:00 午後,23.689
182,05/31/2017 01:00:00 午後,24.050
183,05/31/2017 02:00:00 午後,24.315
184,05/31/2017 03:00:00 午後,24.388
185,05/31/2017 04:00:00 午後,24.339
186,05/31/2017 05:00:00 午後,24.267
187,05/31/2017 06:00:00 午後,24.074
188,05/31/2017 07:00:00 午後,24.074
189,05/31/2017 08:00:00 午後,23.954
190,05/31/2017 09:00:00 午後,23.785
191,05/31/2017 10:00:00 午後,23.737
192,05/31/2017 11:00:00 午後,23.689
193,06/01/2017 12:00:00 午前,23.689
194,06/01/2017 01:00:00 午前,23.665
195,06/01/2017 02:00:00 午前,23.641
196,06/01/2017 03:00:00 午前,23.593
197,06/01/2017 04:00:00 午前,23.569
198,06/01/2017 05:00:00 午前,23.569
199,06/01/2017 06:00:00 午前,23.545
200,06/01/2017 07:00:00 午前,23.569
201,06/01/2017 08:00:00 午前,23.689
202,06/01/2017 09:00:00 午前,23.785
203,06/01/2017 10:00:00 午前,23.881
204,06/01/2017 11:00:00 午前,23.978
205,06/01/2017 12:00:00 午後,24.122
206,06/01/2017 01:00:00 午後,24.267
207,06/01/2017 02:00:00 午後,24.363
208,06/01/2017 03:00:00 午後,24.339
209,06/01/2017 04:00:00 午後,24.171
